label	text_a
0	都是些没用的鸡汤，基本没帮助。但是其中对于钟摆的理论令人深思，市场总是有自己的运作周期，最危险的事就是你有一刻对周期的概念发生怀疑。
0	挺好奇给这书打五星的读者群……心理学导论放了一段审问王明阳的电视剧片段，看了小说发现那段简直是装×精髓所在……
0	还能再啰嗦一点吗
0	没忍住一定打个较差……平时都不打分的
1	一本书很难将22个月，10公里的的旅程说清，其中的美妙与艰辛，需要我放下自己去经历体会。
0	无关紧要的屁事，文青的梦呓
0	这种水准的小说拍成电视剧我简直不抱希望
0	太假了。喜欢牧流冰。
1	水清水浊，皆可用，可废。
1	写的是90初我们的高中和大学生活，特别喜欢高中部分，很有共鸣，特别现实又特别感动。
0	再重看，惊觉文笔尤拙，近乎丑陋，难以卒读。赶超张爱玲，开国际玩笑了。
1	故事文笔行云流水，瑕不掩瑜。很好读，很容易入戏，女主的彷徨倔强脆弱走运不幸，很教人心有戚戚。另外亦舒居然是倪匡他妹！！香港文化圈好小
0	这书特别厚是不是
0	没品德的人，自然也写不出什么好东西。
1	很多电影没看过。因此，只能窥见一斑
0	的确是个随笔，看完没有多大的收获
1	之前因為有個認識的想拍片子去讀的
1	看完电影后再看这本书
0	可能我老了吧.......情节、语言，全部接受无能......
1	一开始读了很多次都没能读完，后来自己经历了一些打击，心境慢下来，才又接着读完，后面看得就很入味，能感受到故事的忧伤，作者功力其实很深，看似白描的手法，将很多激烈的场景和感情轻描淡写地写于纸上，但其中境况，只要稍微一品，就能觉出。公主和宦官的爱情，听上去很猎艳，但这个故事非常凄美，世界上哪有那么多偶像剧一样的人生，就算贵为公主，也必须活在皇家的桎梏中，履行公主应尽的职责，不能放手去爱，甚至妥协了自己的爱情。故事最惊心动魄的情节在我看来是二人的诀别那夜，怀吉在公主睡着之后离开，仍然是白描的写法，说他看见公主的睡脸，这是此生见她的最后一面。看到这段时心如重锤，短短数字已令我泣不成声，也许是因为现在的我已有深爱的人，知道和挚爱分离是多么不能想象的一件事，所以才对这种禁忌的爱情感触颇深吧。好文，太虐
0	也就中学老师的水平，就他这理论水平，完全没必要封杀，建议政府出钱养着他以示民主
0	朋友推荐……读了前两章，战败，H文的YY程度承受不住……这样的男主（们）实在是太眼熟了，每一篇网文里都能看到你们的身影！
0	雷！
1	扎实
1	这本书特别适合写作者，不仅仅是编剧、小说家等，来阅读学习。其实我作为一个影迷一个观众，我也看出了很多东西。最起码能保持着清醒的头脑不被渣剧忽悠得团团转了。具体的感悟写在我的这篇书评里了
0	挺失望的。明晓溪的文笔还是老样子，一点没进步。语言还是那么幼稚肉麻。这本书很差
1	思路清晰，描写生动，非常平易近人的著作了。实际上在史实推进中逐渐意识到作者的观点，后记里直接点明，逻辑顺序太清楚了。英国人特有的幽默很有趣，但主题仍然沉重“不管代价有多么惨重，只要能保证他们所期望的世界永远也不会实现，这种代价就仍然是值得的”。
1	苦心孤诣的命运之路。
0	作者的车轱辘话啊……
0	很有趣的主题，然而作者说了一本书又好像什么都没说，感觉在碎碎念，翻译也一般
0	语言一般剧情一般，作为青春小说来看也弱弱的温吞慢热和女主一样。我这么矫情的人看了都没什么代入感。原作/电影/网剧里感觉最好的要数电影了。
0	不行啊
0	抄袭还卖版权
1	抓住自己有触动的点，写下来，观点亮出，再晒论据，影评就有个大致雏形了。
0	作者真的是学中文出身的？全篇的滚床单加杀人戏码，无聊至极，看不出爱在哪里，感觉不到爱所以感觉不到虐，不是身体上的伤害就是虐好伐，文笔太幼稚了。还有，这书竟然能出版！板书大神被门夹了脑壳吧！
0	我是追着看完的......自雷！
0	很一般
0	翻译哦真的是一塌糊涂。估计是译者故意要仿古，结果病句好多。太多代词省略了致使有的时候不知道在说谁。错误也有几处，一处是亚历山大救了父亲后，在自己营帐里和相好说事情，有个地方明明是在说父亲，却错用了相好的名字。其他错误还有，都懒得一一挑出来了。
0	几乎读不下去。。。
0	到底喜欢他什么？
1	大力推荐！好小说，
1	嗯，我们通常都是正常的傻瓜
1	我在你面前摆着生与死，福与祸，因此该选择生。——《圣经·申命记》，30：19
1	喜欢侯孝贤跟朱天文的都不应该错过。
0	近于闲谈
1	从来离别才是欲望的开始
1	很好的书，有帮助
1	看完是真的难过啊..每个人心中的荒芜感和每个人心里面那口小小的孤独的池塘
1	07年夏天。有一天和几个兄弟出去吃喝，喝高了，呕吐，折腾了很久。夜半入睡，凌晨3点醒来，无法入睡，于是从书架下拿起这本买了很久的书。喜欢黄仁宇的大历史观。
0	看不懂
1	橡胶。手枪。
0	失败之作。无怪乎不把它收入到《太宰治全集》。摘抄+主旋律+YY，感觉就是篇中学生写的命题作文。弄成这么厚一本是在骗钱吧？这样一百多页正文的作品，不值得这么深入的探讨。
1	满满的商业历史和常识，充分体会到了自己商业常识的匮乏。
1	不论怎么从制度上分析，这是一本历史书，不是制度经济学书。
0	男主好装逼啊，说什么话都要带一句嗯？短短一章男主一会说女主不愿意相信他一会又说不考虑女主一会心疼女主一会又很累，莫名其妙的断句前言不搭后语的对白，以及女主三秒就要来一次的心凉和心痛，感觉作者把这辈子看的小说里能用的词语和疼痛都融汇在了这本小说里，女主和男主的眼睛里面分别有远山、清泉、冰、浓墨、水色、流光、麋鹿、执拗、泉水，接下来如果他们的眼睛里出现doge，wuli套套我都不会奇怪了，微笑脸
0	钱琴的强烈推荐啊，尼玛，又臭又长
0	读了三篇，弃...奈保尔看了会流泪，不转不是舍伍德安德森
1	不用说的好书。
1	全书只为那一段，五星也只为那一段
1	少不读鲁迅。
0	最后一章讲的啥…每一章讲的啥…😢
1	很好读的书，伊斯坦布尔的朱由检
0	B4又閹割又整容的大陸版，支持純爺們兒港版！
1	为读书会准备的书，入乎其内只觉读来战战兢兢，兴盛与危机，二十年前的书，好像是昨天写的一样。
0	说好不看这种书的😂
1	越后面越精彩！！尼采初治愈的同时读者也被治愈
0	扯淡
0	还尼玛不如《兄弟》。。。。。
1	做得真不容易～
0	失望！
1	残酷的青春里也有温情的一面
